,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0,9.8,0.63,0.24,2.4,0.078,6.1,32.6,0.9997,3.08,0.57,9.4,5.1
1,6.1,0.34,0.25,1.8,0.084,4.0,28.0,0.9941,3.36,0.44,10.2,4.8
2,7.1,0.43,0.17,1.8,0.083,27.2,51.3,0.9941,3.51,0.63,10.4,5.5
3,8.6,0.47,0.27,1.9,0.057999999999999996,17.5,37.6,0.9907,3.16,0.85,11.1,6.1
4,6.9,0.41,0.3,8.9,0.084,25.9,45.4,0.9861,3.35,0.64,10.2,5.6
5,8.0,0.82,0.29,4.3,0.08199999999999999,20.8,65.7,0.9934,3.15,0.53,9.4,5.3
6,7.8,0.88,0.26,3.8,0.106,31.1,66.4,1.011,3.29,0.47,9.2,5.2
7,7.7,0.71,0.01,2.1,0.064,31.0,42.8,0.9831,3.4,0.57,11.9,5.8
8,7.5,0.44,0.31,2.1,0.069,12.9,72.5,0.9825,3.26,0.54,10.0,5.5
9,7.6,0.78,0.19,5.1,0.094,19.2,98.2,0.9985,3.18,0.52,9.6,6.0
10,9.8,0.39,0.43,1.6,0.067,5.1,11.1,0.9847,3.2,0.45,11.4,5.4
11,10.6,0.55,0.23,2.7,0.092,17.9,48.4,0.9895,3.22,0.63,10.4,6.4
12,10.3,0.64,0.24,2.8,0.10400000000000001,28.9,52.6,1.0155,3.27,0.66,10.0,5.5
13,6.1,0.21,0.4,1.4,0.066,40.0,165.1,,3.24,0.58,11.8,5.9
14,9.7,0.32,0.53,2.5,0.096,28.0,83.8,1.0015,3.28,0.82,9.5,5.2
15,7.1,0.69,0.04,2.1,0.068,19.2,27.0,0.9849,3.42,0.67,10.0,5.4
16,6.9,0.52,0.25,2.6,0.08,10.0,37.1,0.9971,3.55,0.5,11.1,4.4
17,11.3,0.39,0.54,2.7,0.09699999999999999,20.9,100.3,1.0024,3.11,0.51,9.6,4.8
18,6.9,0.63,0.02,2.1,0.067,8.9,23.1,,3.45,0.68,9.4,6.4
19,7.4,0.34,0.24,2.0,0.066,28.2,47.2,1.0004,3.43,0.53,10.1,4.2
20,7.1,0.57,0.0,1.7,0.052000000000000005,3.0,7.9,0.9986,3.42,0.47,10.2,4.4
21,6.2,0.59,0.1,1.6,0.048,12.0,26.3,,3.56,0.51,12.1,4.6
22,8.7,0.27,0.39,2.0,0.098,20.2,26.9,1.0039,3.15,0.7,11.0,5.8
23,6.3,0.41,0.09,2.3,0.054000000000000006,34.7,63.2,,3.47,0.69,10.4,5.5
24,8.6,0.69,0.31,3.0,0.084,23.1,80.6,0.9901,3.54,0.75,11.8,5.7
25,8.2,0.85,0.01,2.2,0.069,5.1,13.7,0.9958,3.27,0.58,11.0,4.4
26,6.0,0.5,0.0,2.1,0.064,39.3,52.8,,3.46,0.94,10.7,6.8
27,7.3,0.6,0.26,7.3,0.07,35.3,121.9,1.0108,3.36,0.48,9.3,4.6
28,9.1,0.63,0.23,3.1,0.096,13.0,37.5,1.0062,3.32,0.59,9.7,4.9
29,12.0,0.37,0.76,4.2,0.067,7.0,37.9,1.0008,3.2,0.6,12.8,7.3
30,7.4,0.49,0.19,1.9,0.077,10.1,44.3,0.9843,3.41,0.54,9.8,5.1
31,8.0,1.04,0.05,2.2,0.084,13.1,29.4,1.0046,3.22,0.56,9.9,6.7
32,11.7,0.42,0.53,3.3,0.105,32.9,97.7,0.9951,3.21,0.95,9.3,4.9
33,8.6,0.49,0.11,2.3,0.08199999999999999,8.9,67.7,1.0093,3.15,0.53,9.4,5.1
34,7.6,0.48,0.69,1.7,0.423,13.8,32.0,,3.08,1.07,9.3,4.6
35,7.0,0.22,0.49,1.8,0.038,8.0,17.9,0.9942,3.41,0.56,12.3,5.9
36,7.9,0.51,0.25,2.9,0.078,21.1,44.8,1.0062,3.51,0.96,12.2,6.0
37,5.6,0.53,0.04,1.7,0.05,5.0,13.2,1.0013,3.74,0.58,11.4,4.8
38,6.2,0.58,0.01,2.1,0.057,5.1,12.8,0.9961,3.57,0.57,11.5,4.6
39,7.7,0.72,0.0,1.6,0.092,22.1,31.1,1.0026,3.34,0.57,9.9,5.7
40,6.8,0.53,0.04,3.0,0.077,6.8,26.8,0.9937,3.62,0.91,9.3,6.1
41,7.3,0.36,0.3,1.6,0.079,35.0,70.2,1.0031,3.372055381553412,0.5,9.5,5.4
42,7.1,0.66,0.18,1.8,0.07,12.8,40.5,0.9893,3.36,0.61,9.0,4.6
43,7.9,0.59,0.16,1.8,0.065,3.0,16.1,0.9942,3.4,0.92,10.5,7.7
44,11.7,0.48,0.4,1.4,0.091,6.0,28.1,0.9975,3.12,0.66,10.0,5.8
45,6.4,0.57,0.14,3.9,0.07,26.5,73.0,1.0087,3.4265276406820098,0.49,9.1,5.2
46,10.1,0.58,0.22,1.9,0.08,9.0,32.6,1.0125,3.16,0.54,9.6,4.8
47,8.9,0.12,0.45,1.8,0.076,10.1,20.7,0.9855,3.4,0.76,11.8,7.6
48,6.9,0.36,0.25,2.4,0.096,5.0,15.9,1.0107,3.44,0.59,10.0,5.4
49,6.2,0.44,0.22,1.8,0.076,20.9,55.5,0.9996,3.51,0.6,9.4,5.1
50,7.4,0.58,0.03,2.3,0.079,7.1,27.5,0.9987,3.31,0.52,10.1,5.1
51,11.0,0.2,0.48,2.0,0.34700000000000003,6.0,18.0,0.9998,3.14811387180251,0.71,10.5,4.9
52,7.5,0.55,0.24,2.0,0.077,10.1,27.8,1.0087,3.42,0.79,9.4,6.1
53,9.4,0.7,0.26,2.4,0.08199999999999999,23.0,144.4,,3.32,0.56,9.4,5.4
54,6.8,0.57,0.22,1.8,0.073,15.0,24.0,1.0027,3.4,0.8,11.3,7.8
55,7.8,0.53,0.26,2.0,0.08800000000000001,23.1,48.4,1.0003,3.39,0.76,9.2,6.2
56,5.2,0.57,0.01,1.7,0.054000000000000006,4.9,27.2,0.9824,3.62,0.84,12.4,6.9
57,5.2,0.47,0.04,1.6,0.054000000000000006,19.1,104.9,1.0025,3.55,0.62,12.1,6.6
58,10.0,0.35,0.41,2.3,0.085,11.0,62.4,1.0107,3.23,0.5,9.6,4.7
59,10.8,0.31,0.49,2.5,0.067,6.0,21.2,1.0,3.27,0.86,10.7,6.0
60,8.2,1.01,0.09,2.3,0.065,7.0,36.9,,3.3,0.54,9.2,6.4
61,8.8,0.29,0.52,1.6,0.113,11.9,37.2,0.9917,3.28,0.58,9.6,4.3
62,7.5,0.61,0.26,1.9,0.073,24.4,86.5,0.9990000000000001,3.3,0.53,9.8,5.0
63,6.1,0.58,0.2,2.4,0.076,15.1,50.8,1.0087,3.55,0.68,12.5,6.4
64,11.0,0.32,0.51,1.8,0.132,17.2,43.5,0.9913,3.25,0.77,11.6,6.9
65,7.9,0.42,0.17,2.0,0.073,6.0,18.3,0.9977,3.35,0.61,9.3,6.6
66,7.2,0.49,0.18,2.7,0.07,12.6,34.2,1.0025,3.31,0.48,9.1,6.2
67,9.1,0.46,0.49,2.6,0.084,20.7,75.3,0.9872,3.3,0.56,9.7,4.9
68,8.8,0.6,0.29,2.2,0.096,4.9,15.0,1.0028,3.38,0.48,9.0,4.8
69,10.0,0.44,0.47,2.2,0.09,9.9,40.9,1.0039,3.18,0.69,11.7,5.3
70,5.0,0.74,0.0,1.2,0.040999999999999995,15.9,44.9,0.98,3.97,0.59,12.5,6.5
71,9.0,0.8,0.05,2.4,0.081,26.4,96.3,0.9897,3.33,0.53,10.0,5.0
72,6.6,0.58,0.0,2.2,0.096,2.9,13.0,0.9867,3.67,0.62,11.5,3.0
73,10.6,0.39,0.46,2.2,0.075,14.1,27.3,1.0028,3.06,0.83,11.4,6.4
74,11.1,0.44,0.42,2.2,0.065,14.2,19.1,1.0124,3.21,0.58,10.4,6.5
75,9.0,0.46,0.31,2.8,0.09300000000000001,18.8,99.6,,3.31,0.63,9.6,6.1
76,6.5,0.45,0.14,2.4,0.11199999999999999,9.0,37.1,0.9643,3.68,0.64,9.7,4.9
77,8.4,0.32,0.42,2.3,0.076,12.0,19.3,0.9815,3.13,0.72,11.8,5.2
78,7.5,0.76,0.0,1.9,0.085,6.0,12.0,0.9901,3.29,0.49,9.5,3.9
79,11.5,0.58,0.66,2.2,0.07400000000000001,10.0,47.4,1.0021,3.25,0.58,9.0,3.3
80,6.0,0.61,0.08,2.1,0.07,16.0,23.8,0.9897,3.45,0.77,11.2,5.4
81,11.7,0.47,0.4,1.4,0.09,5.9,28.2,,3.06,0.64,10.2,5.7
82,8.7,0.54,0.26,2.5,0.098,7.0,31.2,0.995,3.27,0.6,9.3,6.7
83,10.2,0.42,0.57,3.4,0.07,4.0,9.9,0.9990000000000001,3.06,0.64,9.6,4.8
84,7.2,0.71,0.02,2.5,0.076,15.9,41.1,1.0115,3.5,0.52,9.4,3.9
85,8.1,0.38,0.28,2.1,0.066,12.8,29.3,1.0001,3.23,0.73,9.7,6.6
86,8.1,0.78,0.23,2.6,0.059000000000000004,5.1,15.0,0.9926,3.41,0.57,11.4,5.1
87,10.0,0.48,0.24,2.7,0.10300000000000001,13.2,31.9,0.9989,3.24,0.56,9.9,5.8
88,9.6,0.32,0.57,2.8,0.08199999999999999,9.0,29.7,0.9979,3.13,0.54,12.2,5.4
89,8.1,1.34,0.0,1.8,0.08199999999999999,3.0,12.1,0.9997,3.51,0.48,10.8,4.6
90,8.4,0.29,0.41,1.7,0.067,8.0,20.4,1.011,3.37,0.6,10.5,4.9
91,6.3,0.52,0.09,3.8,0.124,14.0,30.6,0.9998,3.51,0.67,10.9,4.1
92,9.4,0.79,0.22,1.9,0.077,5.9,32.1,1.0003,3.244953443586684,0.56,10.5,5.3
93,8.7,0.71,0.24,2.5,0.222,4.9,15.1,0.9975,3.28,0.61,8.8,6.3
94,6.3,0.51,0.14,1.9,0.055999999999999994,14.8,34.3,1.0019,3.46,0.56,11.5,5.6
95,8.0,0.36,0.46,3.6,0.076,14.9,36.6,1.0086,3.36,0.84,12.9,8.7
96,7.5,0.64,0.1,2.4,0.079,15.9,33.2,0.9885,3.62,0.69,11.0,7.8
97,7.2,0.38,0.31,2.0,0.055999999999999994,15.1,28.7,0.9779,3.26,0.77,11.3,9.7
98,11.9,0.38,0.49,2.7,0.099,12.2,42.7,1.0125,3.19,0.6,10.2,5.1
99,8.2,0.77,0.52,2.0,0.12300000000000001,37.1,151.5,0.9975,3.23,0.68,9.2,5.1
100,13.0,0.32,0.66,2.6,0.092,15.1,46.4,0.9922,3.027064407072293,0.62,10.6,5.1
101,7.2,0.59,0.0,1.8,0.075,15.7,34.1,0.9815,3.45,0.69,9.9,5.3
102,10.1,0.27,0.54,2.3,0.064,6.9,26.5,0.9909,3.202586130931108,0.54,12.6,6.6
103,8.2,0.72,0.21,1.7,0.075,5.1,13.0,0.9959,3.18,0.53,9.6,5.1
104,5.0,1.04,0.04,1.4,0.045,41.9,85.9,1.0006,3.74,0.48,10.5,4.6
105,8.9,0.12,0.44,1.8,0.07400000000000001,10.1,20.9,0.9854,3.275215809769238,0.76,12.0,7.8
106,7.3,0.37,0.31,2.0,0.062,15.0,28.3,0.9967,3.372055381553412,0.74,11.3,6.9
107,7.4,0.7,0.24,1.8,0.353,14.9,63.2,1.0069,2.99,1.58,9.4,4.9
108,6.0,0.33,0.32,12.8,0.054000000000000006,6.0,113.5,1.0069,3.34,0.57,11.5,3.2
109,9.7,0.69,0.31,2.5,0.087,21.9,92.0,,3.29,0.62,10.1,5.5
110,9.9,0.32,0.6,2.2,0.078,2.9,14.9,0.9974,3.17,0.77,9.6,4.7
111,8.3,0.54,0.28,1.9,0.077,10.9,40.2,1.0058,3.36,0.61,10.1,6.9
112,12.6,0.41,0.54,2.8,0.10400000000000001,19.2,40.8,,3.29,0.76,11.3,6.0
113,7.2,0.67,0.03,2.3,0.078,15.9,86.1,1.0002,3.51,0.58,9.7,5.1
114,6.9,1.08,0.06,2.1,0.061,12.0,31.3,0.9925,3.51,0.43,11.4,4.0
115,5.5,0.31,0.37,1.4,0.073,12.0,96.8,0.9982,3.34,0.57,9.2,4.9
116,7.1,0.35,0.32,2.5,0.09,43.8,111.5,0.9983,3.38,0.78,11.1,5.1
117,8.3,0.5,0.35,2.9,0.077,20.9,126.1,0.9903,3.23,0.62,9.4,5.8
118,9.0,0.8,0.12,2.4,0.08199999999999999,8.3,28.0,1.0135,3.29,0.65,10.4,4.9
119,8.0,0.33,0.23,1.7,0.077,18.1,45.1,0.993,3.33,0.65,9.3,5.5
120,7.6,0.64,0.03,2.0,0.079,27.7,42.9,0.9996,3.3538979618438796,0.65,10.9,5.4
121,8.4,0.42,0.38,2.5,0.095,23.9,60.7,0.998,3.32,0.69,10.8,6.2
122,7.2,0.74,0.0,2.2,0.08,17.8,28.5,0.9978,3.38,0.61,9.4,4.5
123,7.1,0.48,0.0,2.2,0.066,7.0,14.1,0.9899,3.42,0.58,10.8,3.8
124,10.8,0.45,0.33,2.5,0.098,20.1,37.5,0.9976,3.25,0.71,10.7,5.6
125,9.0,0.68,0.11,2.8,0.092,11.1,44.3,1.0168,3.32,0.55,9.5,7.0
126,7.4,0.98,0.05,2.1,0.061,19.9,48.4,0.9868,3.36,0.55,9.6,3.3
127,5.6,0.5,0.09,2.3,0.049,17.0,98.8,1.0003,3.6,0.63,13.0,5.0
128,11.7,0.49,0.49,2.2,0.08199999999999999,5.0,15.2,1.0125,3.18,0.43,9.1,4.8
129,7.3,0.55,0.03,1.6,0.07200000000000001,17.0,42.0,1.002,3.35,0.48,8.9,3.2
130,6.9,0.68,0.0,2.5,0.106,21.7,36.8,0.991,3.5,0.57,10.5,6.2
131,8.1,0.78,0.0,2.2,0.08900000000000001,12.9,26.2,1.012,3.39,0.47,9.6,4.0
132,7.9,0.57,0.31,2.0,0.08,9.9,78.7,0.9732,3.29,0.68,9.5,5.6
133,15.1,0.21,0.44,2.2,0.075,10.0,23.7,0.9823,3.04,0.85,9.2,7.7
134,10.3,0.35,0.64,2.9,0.122,10.0,40.6,1.0018,3.2,0.66,12.6,4.9
135,7.9,0.43,0.21,1.6,0.106,10.1,36.7,0.9951,3.15,0.9,9.5,5.0
136,7.2,0.37,0.32,2.0,0.062,15.0,27.8,0.9959,3.23,0.71,11.3,7.2
137,8.8,0.5,0.21,2.2,0.08800000000000001,20.9,39.0,0.9912,3.36,0.83,11.1,5.1
138,10.0,0.32,0.59,2.2,0.078,3.0,14.9,0.991,3.23,0.77,9.7,4.7
139,8.2,0.24,0.34,5.0,0.061,7.9,22.5,1.0004,3.17,0.95,11.1,6.5
140,7.8,0.52,0.28,2.1,0.08800000000000001,23.1,53.7,0.9961,3.39,0.74,9.3,4.1
141,9.4,0.41,0.37,2.3,0.092,10.0,23.0,0.9969,3.3,0.57,10.4,5.7
142,7.0,0.6,0.3,4.4,0.068,20.3,109.6,0.9996,3.32,1.17,10.2,4.7
143,7.8,0.75,0.27,3.9,0.111,34.0,90.9,0.9927,3.3417930153708575,0.45,9.4,5.3
144,9.0,0.29,0.33,2.0,0.063,13.1,26.7,,3.23,0.85,11.8,8.0
145,8.5,0.34,0.4,4.7,0.054000000000000006,3.0,9.1,,3.4,0.66,11.6,7.6
146,8.3,0.28,0.49,2.1,0.09300000000000001,6.0,12.0,0.987,3.19,0.61,12.3,7.2
147,6.8,0.49,0.1,2.3,0.075,12.0,29.9,,3.45,0.58,10.3,6.8
148,8.9,0.47,0.52,4.0,0.102,3.1,10.1,0.9999,3.21,0.6,12.0,6.7
149,12.3,0.46,0.5,4.5,0.071,26.4,48.6,0.9861,3.069431719727869,0.58,9.5,3.4
150,7.8,0.26,0.3,1.7,0.059000000000000004,19.7,37.7,0.9801,3.21,0.47,10.6,6.7
151,6.6,0.39,0.49,1.7,0.07,22.7,149.6,,3.11,0.5,11.4,5.4
152,5.9,0.29,0.25,13.4,0.067,71.8,157.8,0.9905,3.32,0.54,10.4,6.5
153,12.3,0.4,0.63,2.3,0.091,6.1,18.1,1.0021,3.18,0.49,9.4,4.9
154,7.3,0.95,0.0,2.2,0.08800000000000001,16.1,32.0,0.9923,3.49,0.68,10.3,5.4
155,9.0,0.52,0.34,2.7,0.087,24.1,120.0,,3.24,0.62,9.3,5.7
156,5.1,0.39,0.49,4.3,0.046,29.6,79.1,0.9889,3.5,0.66,13.4,7.0
157,7.5,0.57,0.21,1.5,0.069,4.0,9.0,0.9919,3.09,0.54,9.7,5.2
158,6.6,0.57,0.02,2.0,0.062,36.5,52.8,,3.41,0.76,11.8,6.7
159,6.9,0.73,0.03,2.3,0.054000000000000006,7.1,15.8,1.0004,3.4,0.63,11.7,6.3
160,8.7,0.6,0.18,2.9,0.09,12.0,72.4,0.9949,3.09,0.54,9.5,4.6
161,10.3,0.54,0.37,15.4,0.214,55.4,94.9,1.0126,3.16,0.78,9.1,5.3
162,11.2,0.26,0.68,2.5,0.087,10.1,25.3,0.9985,3.15,0.61,11.9,5.7
163,8.9,0.22,0.24,2.1,0.077,1.0,27.7,0.9839,3.4,0.87,10.3,5.1
164,8.0,0.89,0.03,1.8,0.057,4.0,8.0,0.9956,3.39,0.33,9.1,4.1
165,10.3,0.67,0.39,1.9,0.054000000000000006,6.0,16.9,1.0141,3.2,0.48,10.1,4.7
166,7.6,0.49,0.36,6.1,0.07,16.8,102.2,0.9805,3.34,0.8,10.6,4.5
167,6.2,0.36,0.23,2.2,0.09699999999999999,19.0,41.1,1.0039,3.52,0.57,11.7,6.3
168,11.0,0.31,0.49,2.7,0.095,16.0,47.0,0.9906,3.12,1.0,10.8,8.1
169,9.3,0.66,0.27,2.0,0.09699999999999999,5.0,34.9,0.9801,3.26,0.42,9.7,4.7
170,13.1,0.5,0.56,2.8,0.07200000000000001,7.0,24.0,0.9919,3.021011933835782,0.69,11.0,5.4
171,6.7,0.16,0.65,2.1,0.059000000000000004,24.0,51.6,0.9738,3.35,0.71,11.1,4.9
172,8.7,0.12,0.45,1.8,0.075,9.8,21.1,0.9895,3.41,0.76,12.0,6.3
173,8.4,0.39,0.1,1.7,0.075,6.0,24.7,0.9967,3.06,0.44,9.6,4.9
174,7.2,1.07,0.09,1.7,0.179,10.0,88.5,0.9998,3.378107854789923,0.58,9.0,5.0
175,11.6,0.45,0.64,2.2,0.073,7.1,23.2,0.9785,3.18,0.7,11.0,6.3
176,8.3,0.34,0.41,2.4,0.066,24.0,48.2,1.0174,3.32,0.85,11.1,7.4
177,7.9,0.57,0.19,2.0,0.081,17.0,107.9,0.9998,3.31,0.53,9.5,5.3
178,12.6,0.38,0.65,2.6,0.087,10.0,41.2,1.0004,3.0512743000183367,0.68,9.5,6.6
179,9.0,0.53,0.49,1.9,0.171,5.9,25.3,1.0126,3.26,0.62,9.4,5.8
180,10.4,0.37,0.6,2.2,0.151,7.0,18.4,0.9983,3.03,1.05,9.4,4.6
181,8.0,0.73,0.24,2.8,0.083,10.0,62.4,,3.36,0.56,10.2,6.3
182,7.9,0.18,0.37,0.9,0.049,35.9,109.8,0.9911,2.92,0.45,12.6,5.8
183,7.7,0.6,0.0,2.6,0.055,6.9,13.2,0.9976,3.34,0.56,10.8,5.5
184,7.9,0.6,0.22,2.1,0.078,25.3,106.5,0.9879,3.29,0.49,9.9,5.7
185,6.9,0.9,0.06,2.0,0.059000000000000004,3.9,11.0,1.0039,3.59,0.63,11.0,5.1
186,8.7,0.83,0.02,1.2,0.071,36.1,48.4,,3.28732075624226,0.57,9.8,4.7
187,6.8,0.68,0.0,1.9,0.078,21.7,39.1,1.0063,3.47,0.75,9.8,4.5
188,7.5,0.61,0.2,1.7,0.077,35.9,60.5,1.0034,3.13,0.4,9.1,5.2
189,6.9,0.36,0.32,1.8,0.067,4.0,8.1,0.976,3.38,0.55,12.6,6.9
190,10.9,0.39,0.47,1.8,0.11800000000000001,6.1,13.9,0.9965,3.28,0.76,9.8,5.3
191,10.0,0.5,0.5,14.0,0.205,47.8,80.4,0.9893,3.17,0.75,8.9,5.5
192,9.5,0.39,0.47,2.5,0.087,6.0,20.0,,3.16,0.5,10.4,5.4
193,13.0,0.46,0.49,4.3,0.085,6.0,46.8,1.0124,3.32,0.67,12.7,7.7
194,7.7,0.4,0.29,1.9,0.078,29.0,66.1,1.0095,3.47,0.59,9.7,6.9
195,7.0,0.24,0.4,1.6,0.063,21.0,66.3,0.992,3.51,0.63,11.2,4.2
196,10.2,0.49,0.63,2.9,0.07200000000000001,9.9,25.9,0.9979,3.12,0.77,12.6,6.4
197,8.1,0.73,0.22,2.2,0.073,10.9,40.7,0.9878,3.33,0.55,9.0,5.3
198,10.0,0.69,0.11,1.4,0.085,7.9,23.9,,2.89,0.48,9.6,4.8
199,8.6,0.37,0.64,6.3,0.081,3.0,8.0,0.9912,3.27,0.58,11.1,5.0
200,9.5,0.56,0.23,3.4,0.10300000000000001,37.2,93.1,1.0027,3.35,0.64,10.1,5.7
201,8.3,0.64,0.36,2.0,0.08800000000000001,15.1,55.7,1.0083,3.32,0.57,10.3,4.5
202,6.8,0.59,0.1,1.7,0.064,34.1,53.2,,3.38,0.67,9.8,4.5
203,8.2,0.67,0.55,1.8,0.11699999999999999,32.3,140.7,0.9991,3.16,0.63,9.5,5.1
204,8.0,0.45,0.23,2.2,0.092,15.8,29.7,0.9871,3.21,0.49,9.9,5.8
205,8.4,0.26,0.37,1.4,0.076,8.0,23.0,,3.3,0.7,9.7,6.9
206,7.7,0.54,0.13,2.5,0.096,24.1,65.8,1.0063,3.37,0.6,9.4,5.8
207,9.4,0.36,0.38,1.5,0.079,40.8,55.4,1.0082,3.47,0.74,10.9,5.8
208,6.9,0.41,0.31,2.0,0.079,21.0,51.0,,3.48,0.55,9.5,5.9
209,6.9,0.61,0.04,1.5,0.057,5.0,9.9,0.9978,3.3962652744994553,0.61,9.5,5.0
210,10.4,0.52,0.45,2.0,0.08,6.0,13.1,,3.26,0.76,11.3,6.0
211,9.5,0.36,0.39,1.5,0.079,41.6,55.0,1.0011,3.45,0.73,10.9,5.0
212,7.6,0.41,0.48,2.0,0.08800000000000001,15.9,43.2,1.011,3.48,0.65,9.1,5.1
213,8.0,0.55,0.06,4.0,0.08900000000000001,26.8,61.5,0.9904,3.43,0.67,10.8,5.5
